CSC, 1933608, 1
CSC, 1966175, 10
CSC, 1988401, 16
CSC, 1988659, 1
CSC, 1988753, 2
CSC, 1989113, 1
CSC, 1989255, 2
CSC, 2333325, 2
CSC, 2912357, 1
CSC, 2912740, 1
CSC, 2912745, 1
CSC, 2934880, 1
CSC, 2944852, 35
CSC, 2944889, 1
CSC, 2967195, 2
CSC, 2977722, 3
CSC, 2993444, 3
CSC, 2993483, 1
CSC, 3851337, 1
CSC, 5583919, 2
USA, 1933608, 1
USA, 1966175, 3
USA, 1988401, 9
USA, 1988659, 34
USA, 1988753, 34
USA, 1989113, 71
USA, 1989255, 4
USA, 2333325, 1
USA, 2912357, 35
USA, 2912740, 2
USA, 2912745, 5
USA, 2934880, 1
USA, 2944852, 16
USA, 2944889, 19
USA, 2967195, 1
USA, 2977722, 2
USA, 2993444, 4
USA, 2993483, 1
USA, 3851337, 69
USA, 5583919, 3
Singapore, 1933608, 1
Singapore, 1966175, 1
Singapore, 1988401, 7
Singapore, 1988659, 1
Singapore, 1988753, 4
Singapore, 1989113, 38
Singapore, 1989255, 1
Singapore, 2333325, 3
Singapore, 2912357, 15
Singapore, 2912740, 1
Singapore, 2912745, 11
Singapore, 2934880, 1
Singapore, 2944852, 6
Singapore, 2944889, 7
Singapore, 2967195, 1
Singapore, 2977722, 2
Singapore, 2993444, 2
Singapore, 2993483, 4
Singapore, 3851337, 5
Singapore, 5583919, 2
China, 1933608, 5
China, 1966175, 7
China, 1988401, 14
China, 1988659, 1
China, 1988753, 1
China, 1989113, 8
China, 1989255, 5
China, 2333325, 8
China, 2912357, 20
China, 2912740, 1
China, 2912745, 3
China, 2934880, 1
China, 2944852, 88
China, 2944889, 12
China, 2967195, 4
China, 2977722, 5
China, 2993444, 6
China, 2993483, 1
China, 3851337, 4
China, 5583919, 1
